City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,barcelos,41.5388,-8.6151,289.83,79,8,5.89,PT,1694928992
351,okhotsk,59.3833,143.3,284.86,54,79,6.83,RU,1694929228
352,angaur state,6.906,134.13,301.52,70,91,1.69,PW,1694929228
353,newman,37.3138,-121.0208,292.54,74,0,0.89,US,1694929229
354,paita,-5.0892,-81.1144,293.04,87,87,3.89,PE,1694929229
355,pangody,65.85,74.4859,284.12,71,100,7.18,RU,1694929229
356,beloyarskiy,63.7119,66.6722,291.06,53,100,3.8,RU,1694929113
357,ladario,-19.0047,-57.6017,298.85,46,24,1.18,BR,1694929231
358,bechar,31.6167,-2.2167,300.33,28,33,3.6,DZ,1694929116
359,hopkinton,41.4612,-71.7776,287.21,81,0,2.57,US,1694929231
360,reuleuet,5.2167,96.2833,300.64,78,100,1.15,ID,1694929232
361,okakarara,-20.5833,17.4333,289.37,18,0,2.35,NA,1694929232
362,majene,-3.5403,118.9707,303.99,59,84,2.66,ID,1694929232
363,dwarka,22.2394,68.9678,301.95,74,100,7.42,IN,1694929137
364,port douglas,-16.4833,145.4667,296.78,68,6,6.99,AU,1694929233
365,ponta delgada,37.7333,-25.6667,292.55,63,40,4.12,PT,1694929233
366,ouadda,8.0777,22.4007,294.36,95,100,0.86,CF,1694929234
367,bereznik,62.8551,42.7072,285.29,79,100,3.85,RU,1694929234
368,dire,12.2833,-10.9667,295.74,97,100,0.86,ML,1694929234
369,suva,-18.1416,178.4415,299.86,78,75,2.06,FJ,1694929235
370,iquique,-20.2208,-70.1431,290.17,67,4,1.07,CL,1694929235
371,chintamani,13.4,78.0667,298.34,58,95,6.21,IN,1694929235
372,alpine,32.835,-116.7664,289.4,90,100,2.06,US,1694929235
373,san-pedro,4.7485,-6.6363,296.56,94,87,1.59,CI,1694929236
374,meadow lakes,61.6247,-149.6011,282.37,83,100,3.09,US,1694929236
375,frenda,35.0654,1.0495,296.58,22,46,5.82,DZ,1694929182
376,sharm el-sheikh,27.8518,34.305,301.23,61,0,6.69,EG,1694929237
377,la romana,18.4273,-68.9728,298.62,89,100,3.27,DO,1694929237
378,nemuro,43.3236,145.575,291.69,93,96,5.13,JP,1694928990
379,tannum sands,-23.9504,151.3693,298.09,47,6,7.2,AU,1694929237
380,kailua-kona,19.6406,-155.9956,298.66,81,100,7.2,US,1694929238
381,buarcos,40.166,-8.8768,291.3,82,2,9.44,PT,1694929238
382,kapuskasing,49.4169,-82.4331,281.15,100,0,2.57,CA,1694929238
383,huron,41.1501,-82.5499,286.25,56,99,1.64,US,1694929239
384,sept-iles,50.2001,-66.3821,287.74,93,100,4.12,CA,1694929239
385,petoskey,45.3733,-84.9553,286.12,92,100,0.0,US,1694929239
386,kiruna,67.8557,20.2251,276.66,93,100,4.12,SE,1694929240
387,fuglafjordur,62.244,-6.814,283.41,88,100,9.3,FO,1694929240
388,minas de marcona,-15.2119,-75.1103,286.72,84,96,2.48,PE,1694929240
389,libenge,3.65,18.6333,293.93,97,100,1.23,CD,1694929241
390,greenwood,34.1668,-82.1165,292.94,97,100,0.0,US,1694929241
391,solleftea,63.1667,17.2667,280.07,68,49,4.68,SE,1694929241
392,daultala,33.1925,73.1413,305.85,46,1,1.95,PK,1694929242
393,arraial do cabo,-22.9661,-42.0278,294.25,92,1,9.84,BR,1694929211
394,steinbach,50.1667,8.5667,290.36,95,0,1.03,DE,1694929243
395,kovdor,67.5662,30.4758,279.87,71,100,3.13,RU,1694929243
396,trogir,43.5125,16.2517,295.18,73,0,0.0,HR,1694929243
397,vytegra,61.0064,36.4481,285.8,66,95,4.74,RU,1694929244
398,asau,46.4333,26.4,287.66,75,91,1.21,RO,1694929244
